name,id,hp,attack,defense,spAttack,spDefense,speed,bst,type1,type2,abilities,passive,evolution line,img
Torkoal,324,70,85,140,85,70,20,470,Fire,,"White Smoke, Drought, Shell Armor",Analytic,Torkoal,324
Spoink,325,60,25,35,70,80,60,330,Psychic,,"Thick Fat, Own Tempo, Gluttony",Psychic Surge,"Spoink, Grumpig",325
Grumpig,326,80,45,65,90,110,80,470,Psychic,,"Thick Fat, Own Tempo, Gluttony",Psychic Surge,"Spoink, Grumpig",326
Spinda,327,60,60,60,60,60,60,360,Normal,,"Own Tempo, Tangled Feet, Contrary",Simple,Spinda,327
Trapinch,328,45,100,45,45,45,10,290,Ground,,"Hyper Cutter, Arena Trap, Sheer Force",Adaptability,"Trapinch, Vibrava, Flygon",328
Vibrava,329,50,70,50,50,50,70,340,Ground,Dragon,Levitate,Adaptability,"Trapinch, Vibrava, Flygon",329
Flygon,330,80,100,80,80,80,100,520,Ground,Dragon,Levitate,Adaptability,"Trapinch, Vibrava, Flygon",330
Cacnea,331,50,85,40,85,40,35,335,Grass,,"Sand Veil, Water Absorb",Sand Rush,"Cacnea, Cacturne",331
Cacturne,332,70,115,60,115,60,55,475,Grass,Dark,"Sand Veil, Water Absorb",Sand Rush,"Cacnea, Cacturne",332
Swablu,333,45,40,60,40,75,50,310,Normal,Flying,"Natural Cure, Cloud Nine",Fluffy,"Swablu, Altaria, Mega Altaria",333
Altaria,334,75,70,90,70,105,80,490,Dragon,Flying,"Natural Cure, Cloud Nine",Fluffy,"Swablu, Altaria, Mega Altaria",334
Mega Altaria,334,75,110,110,110,105,80,590,Dragon,Fairy,Pixilate,Fluffy,"Swablu, Altaria, Mega Altaria",334-mega
Zangoose,335,73,115,60,60,60,90,458,Normal,,"Immunity, Toxic Boost",Poison Heal,Zangoose,335
Seviper,336,73,100,60,100,60,65,458,Poison,,"Shed Skin, Infiltrator",Multiscale,Seviper,336
Lunatone,337,90,55,65,95,85,70,460,Rock,Psychic,Levitate,Shadow Shield,Lunatone,337
Solrock,338,90,95,85,55,65,70,460,Rock,Psychic,Levitate,Drought,Solrock,338
Barboach,339,50,48,43,46,41,60,288,Water,Ground,"Oblivious, Anticipation, Hydration",Simple,"Barboach, Whiscash",339
Whiscash,340,110,78,73,76,71,60,468,Water,Ground,"Oblivious, Anticipation, Hydration",Simple,"Barboach, Whiscash",340
Corphish,341,43,80,65,50,35,35,308,Water,,"Hyper Cutter, Shell Armor, Adaptability",Tough Claws,"Corphish, Crawdaunt",341
Crawdaunt,342,63,120,85,90,55,55,468,Water,Dark,"Hyper Cutter, Shell Armor, Adaptability",Tough Claws,"Corphish, Crawdaunt",342
Baltoy,343,40,40,55,40,70,55,300,Ground,Psychic,Levitate,Well Baked Body,"Baltoy, Claydol",343
Claydol,344,60,70,105,70,120,75,500,Ground,Psychic,Levitate,Well Baked Body,"Baltoy, Claydol",344
Lileep,345,66,41,77,61,87,23,355,Rock,Grass,"Suction Cups, Storm Drain",Seed Sower,"Lileep, Cradily",345
Cradily,346,86,81,97,81,107,43,495,Rock,Grass,"Suction Cups, Storm Drain",Seed Sower,"Lileep, Cradily",346
Anorith,347,45,95,50,40,50,75,355,Rock,Bug,"Battle Armor, Swift Swim",Water Absorb,"Anorith, Armaldo",347
Armaldo,348,75,125,100,70,80,45,495,Rock,Bug,"Battle Armor, Swift Swim",Water Absorb,"Anorith, Armaldo",348
Feebas,349,20,15,20,10,55,80,200,Water,,"Swift Swim, Oblivious, Adaptability",Multiscale,"Feebas, Milotic",349
Milotic,350,95,60,79,100,125,81,540,Water,,"Marvel Scale, Competitive, Cute Charm",Magic Guard,"Feebas, Milotic",350
Castform,351,70,70,70,70,70,70,420,Normal,,Forecast,Adaptability,"Castform, Sunny Castform, Rainy Castform, Snowy Castform",351
Sunny Castform,351,70,70,70,70,70,70,420,Fire,,Forecast,Adaptability,"Castform, Sunny Castform, Rainy Castform, Snowy Castform",351-sunny
Rainy Castform,351,70,70,70,70,70,70,420,Water,,Forecast,Adaptability,"Castform, Sunny Castform, Rainy Castform, Snowy Castform",351-rainy
Snowy Castform,351,70,70,70,70,70,70,420,Ice,,Forecast,Adaptability,"Castform, Sunny Castform, Rainy Castform, Snowy Castform",351-snowy
Kecleon,352,60,90,70,60,120,40,440,Normal,,"Color Change, Protean",Adaptability,Kecleon,352
Shuppet,353,44,75,35,63,33,45,295,Ghost,,"Insomnia, Frisk, Cursed Body",Shadow Shield,"Shuppet, Banette, Mega Banette",353
Banette,354,64,115,65,83,63,65,455,Ghost,,"Insomnia, Frisk, Cursed Body",Shadow Shield,"Shuppet, Banette, Mega Banette",354
Mega Banette,354,64,165,75,93,83,75,555,Ghost,,Prankster,Shadow Shield,"Shuppet, Banette, Mega Banette",354-mega
Duskull,355,20,40,90,30,90,25,295,Ghost,,"Levitate, Frisk",Unnerve,"Duskull, Dusclops, Dusknoir",355
Dusclops,356,40,70,130,60,130,25,455,Ghost,,"Pressure, Frisk",Unnerve,"Duskull, Dusclops, Dusknoir",356
Tropius,357,99,68,83,72,87,51,460,Grass,Flying,"Chlorophyll, Solar Power, Harvest",Ripen,Tropius,357
Chimecho,358,75,50,80,95,90,65,455,Psychic,,Levitate,Punk Rock,"Chimecho, Chingling",358
Absol,359,65,130,60,75,60,75,465,Dark,,"Pressure, Super Luck, Justified",Sharpness,"Absol, Mega Absol",359
Mega Absol,359,65,150,60,115,60,115,565,Dark,,Magic Bounce,Sharpness,"Absol, Mega Absol",359-mega
Wynaut,360,95,23,48,23,48,23,260,Psychic,,"Shadow Tag, Telepathy",Sturdy,"Wobbuffet, Wynaut",360
Snorunt,361,50,50,50,50,50,50,300,Ice,,"Inner Focus, Ice Body, Moody",Snow Warning,"Snorunt, Glalie, Mega Glalie, Froslass",361
Glalie,362,80,80,80,80,80,80,480,Ice,,"Inner Focus, Ice Body, Moody",Snow Warning,"Snorunt, Glalie, Mega Glalie, Froslass",362
Mega Glalie,362,80,120,80,120,80,100,580,Ice,,Refrigerate,Snow Warning,"Snorunt, Glalie, Mega Glalie, Froslass",362-mega
Spheal,363,70,40,50,55,50,25,290,Ice,Water,"Thick Fat, Ice Body, Oblivious",Unaware,"Spheal, Sealeo, Walrein",363
Sealeo,364,90,60,70,75,70,45,410,Ice,Water,"Thick Fat, Ice Body, Oblivious",Unaware,"Spheal, Sealeo, Walrein",364
Walrein,365,110,80,90,95,90,65,530,Ice,Water,"Thick Fat, Ice Body, Oblivious",Unaware,"Spheal, Sealeo, Walrein",365
Clamperl,366,35,64,85,74,55,32,345,Water,,"Shell Armor, Rattled",Comatose,"Clamperl, Huntail, Gorebyss",366
Huntail,367,55,104,105,94,75,52,485,Water,,"Swift Swim, Water Veil",Arena Trap,"Clamperl, Huntail, Gorebyss",367
Gorebyss,368,55,84,105,114,75,52,485,Water,,"Swift Swim, Hydration",Arena Trap,"Clamperl, Huntail, Gorebyss",368
Relicanth,369,100,90,130,45,65,55,485,Water,Rock,"Swift Swim, Rock Head, Sturdy",Primordial Sea,Relicanth,369
Luvdisc,370,43,30,55,40,65,97,330,Water,,"Swift Swim, Hydration",Multiscale,Luvdisc,370
Bagon,371,45,75,60,40,30,50,300,Dragon,,"Rock Head, Sheer Force",Intimidate,"Bagon, Shelgon, Salamence, Mega Salamence",371
Shelgon,372,65,95,100,60,50,50,420,Dragon,,"Rock Head, Overcoat",Anger Shell,"Bagon, Shelgon, Salamence, Mega Salamence",372
Salamence,373,95,135,80,110,80,100,600,Dragon,Flying,"Intimidate, Moxie",Gale Wings,"Bagon, Shelgon, Salamence, Mega Salamence",373
Mega Salamence,373,95,145,130,120,90,120,700,Dragon,Flying,Aerilate,Rock Head,"Bagon, Shelgon, Salamence, Mega Salamence",373-mega
Beldum,374,40,55,80,35,60,30,300,Steel,Psychic,"Clear Body, Light Metal",Rock Head,"Beldum, Metang, Metagross, Mega Metagross",374
Metang,375,60,75,100,55,80,50,420,Steel,Psychic,"Clear Body, Light Metal",Iron Fist,"Beldum, Metang, Metagross, Mega Metagross",375
Metagross,376,80,135,130,95,90,70,600,Steel,Psychic,"Clear Body, Light Metal",Iron Fist,"Beldum, Metang, Metagross, Mega Metagross",376
Mega Metagross,376,80,145,150,105,110,110,700,Steel,Psychic,Tough Claws,Full Metal Body,"Beldum, Metang, Metagross, Mega Metagross",376-mega
Regirock,377,80,100,200,50,100,50,580,Rock,,"Clear Body, Sturdy",Sand Stream,Regirock,377
Regice,378,80,50,100,100,200,50,580,Ice,,"Clear Body, Ice Body",Snow Warning,Regice,378
Registeel,379,80,75,150,75,150,50,580,Steel,,"Clear Body, Light Metal",Steely Spirit,Registeel,379
Latias,380,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,Prism Armor,"Latias, Mega Latias",380
Mega Latias,380,80,100,120,140,150,110,700,Dragon,Psychic,Levitate,Prism Armor,"Latias, Mega Latias",380-mega
Latios,381,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,Neuroforce,"Latios, Mega Latios",381
Mega Latios,381,80,130,100,160,120,110,700,Dragon,Psychic,Levitate,Neuroforce,"Latios, Mega Latios",381-mega
Kyogre,382,100,100,90,150,140,90,670,Water,,Drizzle,Mold Breaker,"Kyogre, Primal Kyogre",382
Primal Kyogre,382,100,150,90,180,160,90,770,Water,,Primordial Sea,Teravolt,"Kyogre, Primal Kyogre",382-primal
Groudon,383,100,150,140,100,90,90,670,Ground,,Drought,Mold Breaker,"Groudon, Primal Groudon",383
Primal Groudon,383,100,180,160,150,90,90,770,Ground,Fire,Desolate Land,Turboblaze,"Groudon, Primal Groudon",383-primal
Rayquaza,384,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,Unnerve,"Rayquaza, Mega Rayquaza",384
Mega Rayquaza,384,105,180,100,180,100,115,780,Dragon,Flying,Delta Stream,Unnerve,"Rayquaza, Mega Rayquaza",384-mega
Jirachi,385,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,Purifying Salt,Jirachi,385
Normal Deoxys,386,50,150,50,150,50,150,600,Psychic,,Pressure,Protean,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys",386
Attack Deoxys,386,50,180,20,180,20,150,600,Psychic,,Pressure,Adaptability,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys",386-attack
Defense Deoxys,386,50,70,160,70,160,90,600,Psychic,,Pressure,Regenerator,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys",386-defense
Speed Deoxys,386,50,95,90,95,90,180,600,Psychic,,Pressure,Shadow Shield,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys",386-speed
Turtwig,387,55,68,64,45,55,31,318,Grass,,"Overgrow, Shell Armor",Solid Rock,"Turtwig, Grotle, Torterra",387
Grotle,388,75,89,85,55,65,36,405,Grass,,"Overgrow, Shell Armor",Solid Rock,"Turtwig, Grotle, Torterra",388
Torterra,389,95,109,105,75,85,56,525,Grass,Ground,"Overgrow, Shell Armor",Thick Fat,"Turtwig, Grotle, Torterra",389
Chimchar,390,44,58,44,58,44,61,309,Fire,,"Blaze, Iron Fist",Defiant,"Chimchar, Monferno, Infernape",390
Monferno,391,64,78,52,78,52,81,405,Fire,Fighting,"Blaze, Iron Fist",Defiant,"Chimchar, Monferno, Infernape",391
Infernape,392,76,104,71,104,71,108,534,Fire,Fighting,"Blaze, Iron Fist",Battle Bond,"Chimchar, Monferno, Infernape",392
Piplup,393,53,51,53,61,56,40,314,Water,,"Torrent, Competitive",Cute Charm,"Piplup, Prinplup, Empoleon",393
Prinplup,394,64,66,68,81,76,50,405,Water,,"Torrent, Competitive",Drizzle,"Piplup, Prinplup, Empoleon",394
Empoleon,395,84,86,88,111,101,60,530,Water,Steel,"Torrent, Competitive",Drizzle,"Piplup, Prinplup, Empoleon",395
Starly,396,40,55,30,30,30,60,245,Normal,Flying,"Keen Eye, Reckless",Intimidate,"Starly, Staravia, Staraptor",396
Staravia,397,55,75,50,40,40,80,340,Normal,Flying,"Intimidate, Reckless",Rock Head,"Starly, Staravia, Staraptor",397
Staraptor,398,85,120,70,50,60,100,485,Normal,Flying,"Intimidate, Reckless",Rock Head,"Starly, Staravia, Staraptor",398
Bidoof,399,59,45,40,35,40,31,250,Normal,,"Simple, Unaware, Moody",Sap Sipper,"Bidoof, Bibarel",399
Bibarel,400,79,85,60,55,60,71,410,Normal,Water,"Simple, Unaware, Moody",Sap Sipper,"Bidoof, Bibarel",400
Kricketot,401,37,25,41,25,41,25,194,Bug,,"Shed Skin, Run Away",Honey Gather,"Kricketot, Kricketune",401
Kricketune,402,77,85,51,55,51,65,384,Bug,,"Swarm, Technician",Sharpness,"Kricketot, Kricketune",402
Shinx,403,45,65,34,40,34,45,263,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray",403
Luxio,404,60,85,49,60,49,60,363,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray",404
Luxray,405,80,120,79,95,79,70,523,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray",405
Budew,406,40,30,35,50,70,55,280,Grass,Poison,"Natural Cure, Poison Point, Leaf Guard",Seed Sower,"Roselia, Budew, Roserade",406
Roserade,407,60,70,65,125,105,90,515,Grass,Poison,"Natural Cure, Poison Point, Technician",Grassy Surge,"Roselia, Budew, Roserade",407
Cranidos,408,67,125,40,30,30,58,350,Rock,,"Mold Breaker, Sheer Force",Rock Head,"Cranidos, Rampardos",408
Rampardos,409,97,165,60,65,50,58,495,Rock,,"Mold Breaker, Sheer Force",Rock Head,"Cranidos, Rampardos",409
Shieldon,410,30,42,118,42,88,30,350,Rock,Steel,"Sturdy, Soundproof",Earth Eater,"Shieldon, Bastiodon",410
Bastiodon,411,60,52,168,47,138,30,495,Rock,Steel,"Sturdy, Soundproof",Earth Eater,"Shieldon, Bastiodon",411
Plant Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",412-plant
Sandy Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",412-sandy
Trash Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",412-trash
Plant Wormadam,413,60,59,85,79,105,36,424,Bug,Grass,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",413-plant
Sandy Wormadam,413,60,79,105,59,85,36,424,Bug,Ground,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",413-sandy
Trash Wormadam,413,60,69,95,69,95,36,424,Bug,Steel,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",413-trash
Mothim,414,70,94,50,94,50,66,424,Bug,Flying,"Swarm, Tinted Lens",Speed Boost,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim",414
Combee,415,30,30,42,30,42,70,244,Bug,Flying,"Honey Gather, Hustle",Run Away,"Combee, Vespiquen",415
Vespiquen,416,70,80,102,80,102,40,474,Bug,Flying,"Pressure, Unnerve",Intimidate,"Combee, Vespiquen",416
Pachirisu,417,60,45,70,45,90,95,405,Electric,,"Run Away, Pickup, Volt Absorb",Honey Gather,Pachirisu,417
Buizel,418,55,65,35,60,30,85,330,Water,,"Swift Swim, Water Veil",Moxie,"Buizel, Floatzel",418
Floatzel,419,85,105,55,85,50,115,495,Water,,"Swift Swim, Water Veil",Moxie,"Buizel, Floatzel",419
Cherubi,420,45,35,45,62,53,35,275,Grass,,Chlorophyll,Drought,"Cherubi, Overcast Cherrim, Sunshine Cherrim",420
Overcast Cherrim,421,70,60,70,87,78,85,450,Grass,,Flower Gift,Drought,"Cherubi, Overcast Cherrim, Sunshine Cherrim",421-overcast
Sunshine Cherrim,421,70,60,70,87,78,85,450,Grass,,Flower Gift,Chlorophyll,"Cherubi, Overcast Cherrim, Sunshine Cherrim",421-sunshine
East Shellos,422,76,48,48,57,62,34,325,Water,,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon",422-east
West Shellos,422,76,48,48,57,62,34,325,Water,,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon",422-west
East Gastrodon,423,111,83,68,92,82,39,475,Water,Ground,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon",423-east
West Gastrodon,423,111,83,68,92,82,39,475,Water,Ground,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon",423-west
Ambipom,424,75,100,66,60,66,115,482,Normal,,"Technician, Pickup, Skill Link",Scrappy,"Aipom, Ambipom",424
Drifloon,425,90,50,34,60,44,70,348,Ghost,Flying,"Aftermath, Unburden, Flare Boost",Magic Guard,"Drifloon, Drifblim",425
Drifblim,426,150,80,44,90,54,80,498,Ghost,Flying,"Aftermath, Unburden, Flare Boost",Magic Guard,"Drifloon, Drifblim",426
Buneary,427,55,66,44,44,56,85,350,Normal,,"Run Away, Klutz, Limber",Adaptability,"Buneary, Lopunny, Mega Lopunny",427
Lopunny,428,65,76,84,54,96,105,480,Normal,,"Cute Charm, Klutz, Limber",Adaptability,"Buneary, Lopunny, Mega Lopunny",428
Mega Lopunny,428,65,136,94,54,96,135,580,Normal,Fighting,Scrappy,Adaptability,"Buneary, Lopunny, Mega Lopunny",428-mega
Mismagius,429,60,60,60,105,105,105,495,Ghost,,Levitate,Beads Of Ruin,"Misdreavus, Mismagius",429
Honchkrow,430,100,125,52,105,52,71,505,Dark,Flying,"Insomnia, Super Luck, Moxie",Intimidate,"Murkrow, Honchkrow",430
Glameow,431,49,55,42,42,37,85,310,Normal,,"Limber, Own Tempo, Keen Eye",Intimidate,"Glameow, Purugly",431
Purugly,432,71,82,64,64,59,112,452,Normal,,"Thick Fat, Own Tempo, Defiant",Intimidate,"Glameow, Purugly",432
Chingling,433,45,30,50,65,50,45,285,Psychic,,Levitate,Punk Rock,"Chimecho, Chingling",433
Stunky,434,63,63,47,41,41,74,329,Poison,Dark,"Stench, Aftermath, Keen Eye",Neutralizing Gas,"Stunky, Skuntank",434
Skuntank,435,103,93,67,71,61,84,479,Poison,Dark,"Stench, Aftermath, Keen Eye",Neutralizing Gas,"Stunky, Skuntank",435
Bronzor,436,57,24,86,24,86,23,300,Steel,Psychic,"Levitate, Heatproof, Heavy Metal",Mirror Armor,"Bronzor, Bronzong",436
Bronzong,437,67,89,116,79,116,33,500,Steel,Psychic,"Levitate, Heatproof, Heavy Metal",Mirror Armor,"Bronzor, Bronzong",437
Bonsly,438,50,80,95,10,45,10,290,Rock,,"Sturdy, Rock Head, Rattled",Sap Sipper,"Sudowoodo, Bonsly",438
Mime Jr.,439,20,25,45,70,90,60,310,Psychic,Fairy,"Soundproof, Filter, Technician",Prankster,"Mr. Mime, Mime Jr., Mr. Rime, Galar Mr. Mime",439
Happiny,440,100,5,5,15,65,30,220,Normal,,"Natural Cure, Serene Grace, Friend Guard",Hospitality,"Chansey, Blissey, Happiny",440
Chatot,441,76,65,45,92,42,91,411,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Punk Rock,Chatot,441
Spiritomb,442,50,92,108,92,108,35,485,Ghost,Dark,"Pressure, Infiltrator",Vessel Of Ruin,Spiritomb,442
Gible,443,58,70,45,40,45,42,300,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp",443
Gabite,444,68,90,65,50,55,82,410,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp",444
Garchomp,445,108,130,95,80,85,102,600,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp",445
Mega Garchomp,445,108,170,115,120,95,92,700,Dragon,Ground,Sand Force,Sand Rush,"Gible, Gabite, Garchomp, Mega Garchomp",445-mega
Munchlax,446,135,85,40,40,85,5,390,Normal,,"Pickup, Thick Fat, Gluttony",Cheek Pouch,"Snorlax, Gigantamax Snorlax, Munchlax",446
Riolu,447,40,70,40,35,40,60,285,Fighting,,"Steadfast, Inner Focus, Prankster",Minds Eye,"Riolu, Lucario, Mega Lucario",447
Lucario,448,70,110,70,115,70,90,525,Fighting,Steel,"Steadfast, Inner Focus, Justified",Minds Eye,"Riolu, Lucario, Mega Lucario",448
Mega Lucario,448,70,145,88,140,70,112,625,Fighting,Steel,Adaptability,Minds Eye,"Riolu, Lucario, Mega Lucario",448-mega
Hippopotas,449,68,72,78,38,42,32,330,Ground,,"Sand Stream, Sand Force",Unaware,"Hippopotas, Hippowdon",449
Hippowdon,450,108,112,118,68,72,47,525,Ground,,"Sand Stream, Sand Force",Unaware,"Hippopotas, Hippowdon",450
Skorupi,451,40,50,90,30,55,65,330,Poison,Bug,"Battle Armor, Sniper, Keen Eye",Super Luck,"Skorupi, Drapion",451
Drapion,452,70,90,110,60,75,95,500,Poison,Dark,"Battle Armor, Sniper, Keen Eye",Super Luck,"Skorupi, Drapion",452
Croagunk,453,48,61,40,61,40,50,300,Poison,Fighting,"Anticipation, Dry Skin, Poison Touch",Moxie,"Croagunk, Toxicroak",453
Toxicroak,454,83,106,65,86,65,85,490,Poison,Fighting,"Anticipation, Dry Skin, Poison Touch",Moxie,"Croagunk, Toxicroak",454
Carnivine,455,74,100,72,90,72,46,454,Grass,,Levitate,Arena Trap,Carnivine,455
Finneon,456,49,49,56,49,61,66,330,Water,,"Swift Swim, Storm Drain, Water Veil",Water Bubble,"Finneon, Lumineon",456
Lumineon,457,69,69,76,69,86,91,460,Water,,"Swift Swim, Storm Drain, Water Veil",Water Bubble,"Finneon, Lumineon",457
Mantyke,458,45,20,50,60,120,50,345,Water,Flying,"Swift Swim, Water Absorb, Water Veil",Unaware,"Mantine, Mantyke",458
Snover,459,60,62,50,62,60,40,334,Grass,Ice,"Snow Warning, Soundproof",Slush Rush,"Snover, Abomasnow, Mega Abomasnow",459
Abomasnow,460,90,92,75,92,85,60,494,Grass,Ice,"Snow Warning, Soundproof",Slush Rush,"Snover, Abomasnow, Mega Abomasnow",460
Mega Abomasnow,460,90,132,105,132,105,30,594,Grass,Ice,Snow Warning,Grassy Surge,"Snover, Abomasnow, Mega Abomasnow",460-mega
Weavile,461,70,120,65,45,85,125,510,Dark,Ice,"Pressure, Pickpocket",Tough Claws,"Sneasel, Weavile",461
Magnezone,462,70,70,115,130,90,60,535,Electric,Steel,"Magnet Pull, Sturdy, Analytic",Levitate,"Magnemite, Magneton, Magnezone",462
Lickilicky,463,110,85,95,80,95,50,515,Normal,,"Own Tempo, Oblivious, Cloud Nine",Cheek Pouch,"Lickitung, Lickilicky",463
Rhyperior,464,115,140,130,55,55,40,535,Ground,Rock,"Lightning Rod, Solid Rock, Reckless",Filter,"Rhyhorn, Rhydon, Rhyperior",464
Tangrowth,465,100,100,125,110,50,50,535,Grass,,"Chlorophyll, Leaf Guard, Regenerator",Tangling Hair,"Tangela, Tangrowth",465
Electivire,466,75,123,67,95,85,95,540,Electric,,"Motor Drive, Vital Spirit",Sheer Force,"Electabuzz, Elekid, Electivire",466
Magmortar,467,75,95,67,125,95,83,540,Fire,,"Flame Body, Vital Spirit",Sheer Force,"Magmar, Magby, Magmortar",467
Togekiss,468,85,50,95,120,115,80,545,Fairy,Flying,"Hustle, Serene Grace, Super Luck",Pixilate,"Togepi, Togetic, Togekiss",468
Yanmega,469,86,76,86,116,56,95,515,Bug,Flying,"Speed Boost, Tinted Lens, Frisk",Sheer Force,"Yanma, Yanmega",469
Leafeon,470,65,110,130,60,65,95,525,Grass,,"Leaf Guard, Chlorophyll",Grassy Surge,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon",470
Glaceon,471,65,60,110,130,95,65,525,Ice,,"Snow Cloak, Ice Body",Snow Warning,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon",471
Gliscor,472,75,95,125,45,75,95,510,Ground,Flying,"Hyper Cutter, Sand Veil, Poison Heal",Toxic Boost,"Gligar, Gliscor",472
Mamoswine,473,110,130,80,70,60,80,530,Ice,Ground,"Oblivious, Snow Cloak, Thick Fat",Slush Rush,"Swinub, Piloswine, Mamoswine",473
Porygon-Z,474,85,80,70,135,75,90,535,Normal,,"Adaptability, Download, Analytic",Protean,"Porygon, Porygon2, Porygon-Z",474
Gallade,475,68,125,65,65,115,80,518,Psychic,Fighting,"Steadfast, Sharpness, Justified",Neuroforce,"Ralts, Kirlia, Gardevoir, Mega Gardevoir, Gallade, Mega Gallade",475
Mega Gallade,475,68,165,95,65,115,110,618,Psychic,Fighting,Inner Focus,Sharpness,"Ralts, Kirlia, Gardevoir, Mega Gardevoir, Gallade, Mega Gallade",475-mega
Probopass,476,60,55,145,75,150,40,525,Rock,Steel,"Sturdy, Magnet Pull, Sand Force",Levitate,"Nosepass, Probopass",476
Dusknoir,477,45,100,135,65,135,45,525,Ghost,,"Pressure, Frisk",Levitate,"Duskull, Dusclops, Dusknoir",477
Froslass,478,70,80,70,80,70,110,480,Ice,Ghost,"Snow Cloak, Cursed Body",Snow Warning,"Snorunt, Glalie, Mega Glalie, Froslass",478
Rotom,479,50,50,77,95,77,91,440,Electric,Ghost,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479
Heat Rotom,479,50,65,107,105,107,86,520,Electric,Fire,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479-heat
Wash Rotom,479,50,65,107,105,107,86,520,Electric,Water,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479-wash
Frost Rotom,479,50,65,107,105,107,86,520,Electric,Ice,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479-frost
Fan Rotom,479,50,65,107,105,107,86,520,Electric,Flying,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479-fan
Mow Rotom,479,50,65,107,105,107,86,520,Electric,Grass,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom",479-mow
Uxie,480,75,75,130,75,130,95,580,Psychic,,Levitate,Magic Bounce,Uxie,480
Mesprit,481,80,105,105,105,105,80,580,Psychic,,Levitate,Moody,Mesprit,481
Azelf,482,75,125,70,125,70,115,580,Psychic,,Levitate,Neuroforce,Azelf,482
Dialga,483,100,120,120,150,100,90,680,Steel,Dragon,"Pressure, Telepathy",Berserk,"Dialga, Origin Dialga",483
Origin Dialga,483,100,100,120,150,120,90,680,Steel,Dragon,"Pressure, Telepathy",Berserk,"Dialga, Origin Dialga",483-origin
